,Groundnut_Production_241,NetAreaIrrigatedUnderDifferentSources_TubeWells_GrossIrrigatedArea_181,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,NetAreaIrrigatedUnderDifferentSources_TotalNetIrrigatedArea_189,AreaUnderOilSeeds_GroundNut_210,MotorVehicles_Tractors_514,MotorVehicles_Trailers_515,Rural_AnthyodayaBPLCardHolders_32,Total_AnthyodayaBPLCardHolders_33,RuralBPLPriorityCardHoldersAkshayaWithoutCylinder_38,TotalBPLPriorityCardHoldersAkshayaWithoutCylinder_39,LivestockCensus_2012_Buffaloes_355,LivestockCensus_2012_Sheep_359,LivestockCensus_2012_Goats_360,SemiMediumAgricultureLandHoldings_TotalNumber_1073,SemiMediumAgricultureLandHoldings_TotalArea_1077,MediumAgricultureLandHoldings_TotalNumber_1105,MediumAgricultureLandHoldings_TotalArea_1109,LargeAgricultureLandHoldings_TotalNumber_1137,LargeAgricultureLandHoldings_TotalArea_1141,TotalNPK_315,SowingSeedsDistributed_Groundnut_328,TotalAgricultureLoan
10,0,0.0,0.0,0.0,0,0.0,0.0,20136,23266,60528,60528,3700,265,24628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3623,8.71024292598032,418.0293554189725,386.56531623714085,1819,53.93123230850189,2.0062219042672838,25747,28778,37289,37289,8846,70,6600,147.73768259001812,396.06060251696493,51.25211610093999,286.0174619170619,5.607452527455141,105.22073142629158,76.6102625306538,441.4,187.33128183609804
12,521,9.51082680394537,37.978430650294236,32.60338777555409,862,8.970447746503659,5.880846996083859,10046,11530,165073,165073,141264,160685,99405,14.331893736261442,37.57091258325156,3.785372779088461,20.905016419161356,0.4758909743825292,10.119967251155009,26.58424103507825,1.2,36.70467446514694
13,45,0.022874735645743716,0.33556805593520267,0.33556805593520267,63,1.474988850364701,0.9316059790818455,5999,6451,26680,26680,14476,1401,7785,2.9135076033319427,7.961487001683236,1.6901408450704225,9.792544850307154,0.48749082852580244,10.282841070940455,8.836337740436491,0.0,19.119178811376944
14,1021,26.086475346615902,190.7056920903083,161.63938124355974,1361,14.601823937013704,11.489691300511517,17280,19805,122973,122973,145516,341774,261300,29.76811565587072,74.68992330332516,4.592600591113551,23.51739095559244,0.2116754181912419,3.8139374456243402,76.30142842157872,135.0,80.28546218539246
15,2170,40.58325324118041,266.2107606291201,238.39626793703573,2387,35.63770637849279,17.00729444216258,16843,19362,10438,10446,45419,218381,168299,57.02351973778224,147.04452198254006,11.549650466140413,61.19649102464334,0.836366219702098,13.528932388613386,109.88647192501251,412.8,124.14687036339927
16,8867,859.2263508196451,1421.112238347291,1327.0422578961757,12179,67.66501619409723,43.445163721908834,19762,21638,103878,116794,20887,128483,102854,371.65262626011616,967.3802030267639,81.45509140760254,436.78364727516714,5.986104553399104,92.14194064097148,437.07744381766526,3345.9,590.6577501801646
17,39530,3141.6976980767145,9545.090982416594,7828.565873930313,37419,853.9598411209171,897.5018269047837,37016,44418,380245,380263,829370,788929,491545,1928.3693729355743,5226.5460824230595,877.7534769335537,4992.066604924805,110.16048852666583,1657.1145696063513,3309.6322234838317,1581.5,4995.826881991022
18,27528,3027.372312896061,7186.483077612731,6611.171791266785,24779,580.055688000489,373.40544450557286,28519,34810,179596,180215,156860,309278,367563,2454.2111987285284,6633.6317419565175,1341.4737249628135,7862.642113413615,206.93070073557877,2813.547038327526,1267.3862705544348,12918.5,4382.857214173645
19,25444,3534.605129704118,6940.888463807612,6365.996975952698,26333,659.436766354196,610.4376916224003,27493,36568,150329,150329,234802,733600,324741,1477.6556906143844,4018.5803656152707,694.3814189810014,3978.4404985916794,87.71709360468802,1228.3127428023054,2319.0343337907734,14970.2,3956.680753239245
20,21178,1079.3039594256406,2153.6102082956672,1474.929175666803,36152,575.9861415344797,395.50430388901043,15471,21721,65200,65265,79513,73982,62140,1415.6015148775823,3881.689545251258,781.8595731318571,4564.683118440209,119.50170804350515,1616.0338906281222,1506.6082119306125,1497.9,3183.0136399882003
21,31332,2578.2224550181595,5162.8029748545705,4606.9342139494875,41174,1518.3276155721983,712.9183961593296,19066,21696,111987,118862,60989,259047,106353,2370.0909314805244,6448.5993138686645,1154.070278164165,6657.980713396211,160.20149644620045,2170.273800397526,1265.0918715290184,5999.0,3761.3659355563805
22,18309,1225.5118176129006,1800.555684921871,1460.6069819000354,17789,232.26768639664684,153.3203587004507,21654,27617,158022,158022,98468,254708,127757,649.9794331814896,1732.2373055260439,215.22880130789346,1204.8608665279214,23.063929598851228,316.0261675714224,962.2454992650377,3616.0,1331.8013006165922
23,3825,98.14590358531846,438.57289202345174,416.73197263404285,1950,49.3175190496974,20.192748744151654,9306,9972,107816,120232,87816,4783,8961,146.27248642682997,389.39360664077594,44.74517467898376,243.8760887030638,2.871006930448102,38.067425225941506,162.86052646941903,569.4,206.98258631090553
24,45877,2796.003210560925,7838.568288932144,5994.877990825472,49762,721.1605418001672,422.5524227880401,43553,55277,131670,131670,142255,756270,187270,1699.4341520634828,4602.375005567068,803.9403131705042,4586.149569436403,119.13676714460492,1642.9155495416665,3705.6792825162624,7175.75,5564.205338196112
25,261,23.909118910006704,42.78767597340242,35.56292283441741,299,4.970978203757723,4.626717156161107,29550,33624,137237,137237,130781,88402,145942,51.31002844563622,135.5149566068161,16.457380464914028,93.5406446469661,1.9851756563332308,26.428655807801714,23.320848658344357,0.0,49.74950446614607
26,3114,150.59140883580372,301.2304306375018,274.62878651604547,3817,45.7952709022881,30.223030292128364,45985,53842,228459,228492,91254,100061,372951,312.46148906317455,842.2677651460642,132.5572978126349,761.9502932076558,20.165491437616925,272.96793423514174,151.23838501942726,3305.0,433.4628399769751
27,31435,1106.3203636637995,6616.386811528595,6125.579591066848,38840,469.6987626376943,248.22597706352798,23697,27858,134646,161662,76855,463482,257360,2517.5986494643125,6816.371661385242,954.6715104874,5403.528029274181,106.0640712237815,1416.4012373623057,4335.013150746944,0.0,5751.41438810925
28,26958,556.3421863223062,3769.702305175426,3355.788103360389,35960,501.35590148435693,197.45341942342296,36033,44763,155931,156015,136854,647549,281710,1537.0124952619954,4164.9419196870085,700.101273488522,4019.597254353518,87.4612747084221,1163.344573840986,2294.8797091409724,10690.0,3667.48145098398
29,29982,2179.9658538272192,3174.8008915351315,2840.510870692826,22274,384.4794720577926,204.59859385167695,30410,35505,140654,141775,77860,547061,156509,1262.7006158382662,3390.615531761725,477.6716220846707,2701.4177577702817,52.49863723385192,704.5844930729984,1733.114796150932,2081.0,2486.7341474302348
