,Groundnut_Production_241,NetAreaIrrigatedUnderDifferentSources_TubeWells_GrossIrrigatedArea_181,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,NetAreaIrrigatedUnderDifferentSources_TotalNetIrrigatedArea_189,AreaUnderOilSeeds_GroundNut_210,MotorVehicles_Tractors_514,MotorVehicles_Trailers_515,LivestockCensus_2012_Sheep_359,SemiMediumAgricultureLandHoldings_TotalNumber_1073,SemiMediumAgricultureLandHoldings_TotalArea_1077,MediumAgricultureLandHoldings_TotalNumber_1105,MediumAgricultureLandHoldings_TotalArea_1109,LargeAgricultureLandHoldings_TotalNumber_1137,LargeAgricultureLandHoldings_TotalArea_1141,TotalNPK_315,TotalAgricultureLoan,District
18,27528,3027.372312896061,7186.483077612731,6611.171791266785,24779,580.055688000489,373.40544450557286,309278,2454.2111987285284,6633.6317419565175,1341.4737249628135,7862.642113413615,206.93070073557877,2813.547038327526,1267.3862705544348,4382.857214173645,VIJAYAPURA
19,25444,3534.605129704118,6940.888463807612,6365.996975952698,26333,659.436766354196,610.4376916224003,733600,1477.6556906143844,4018.5803656152707,694.3814189810014,3978.4404985916794,87.71709360468802,1228.3127428023054,2319.0343337907734,3956.680753239245,BAGALKOT
20,21178,1079.3039594256406,2153.6102082956672,1474.929175666803,36152,575.9861415344797,395.50430388901043,73982,1415.6015148775823,3881.689545251258,781.8595731318571,4564.683118440209,119.50170804350515,1616.0338906281222,1506.6082119306125,3183.0136399882003,DHARAWAD
21,31332,2578.2224550181595,5162.8029748545705,4606.9342139494875,41174,1518.3276155721983,712.9183961593296,259047,2370.0909314805244,6448.5993138686645,1154.070278164165,6657.980713396211,160.20149644620045,2170.273800397526,1265.0918715290184,3761.3659355563805,GADAG
22,18309,1225.5118176129006,1800.555684921871,1460.6069819000354,17789,232.26768639664684,153.3203587004507,254708,649.9794331814896,1732.2373055260439,215.22880130789346,1204.8608665279214,23.063929598851228,316.0261675714224,962.2454992650377,1331.8013006165922,HAVERI
23,3825,98.14590358531846,438.57289202345174,416.73197263404285,1950,49.3175190496974,20.192748744151654,4783,146.27248642682997,389.39360664077594,44.74517467898376,243.8760887030638,2.871006930448102,38.067425225941506,162.86052646941903,206.98258631090553,UTTARA KANNADA
24,45877,2796.003210560925,7838.568288932144,5994.877990825472,49762,721.1605418001672,422.5524227880401,756270,1699.4341520634828,4602.375005567068,803.9403131705042,4586.149569436403,119.13676714460492,1642.9155495416665,3705.6792825162624,5564.205338196112,BALLARI
25,261,23.909118910006704,42.78767597340242,35.56292283441741,299,4.970978203757723,4.626717156161107,88402,51.31002844563622,135.5149566068161,16.457380464914028,93.5406446469661,1.9851756563332308,26.428655807801714,23.320848658344357,49.74950446614607,BIDAR
26,3114,150.59140883580372,301.2304306375018,274.62878651604547,3817,45.7952709022881,30.223030292128364,100061,312.46148906317455,842.2677651460642,132.5572978126349,761.9502932076558,20.165491437616925,272.96793423514174,151.23838501942726,433.4628399769751,KALABURAGI
27,31435,1106.3203636637995,6616.386811528595,6125.579591066848,38840,469.6987626376943,248.22597706352798,463482,2517.5986494643125,6816.371661385242,954.6715104874,5403.528029274181,106.0640712237815,1416.4012373623057,4335.013150746944,5751.41438810925,YADGIRI
28,26958,556.3421863223062,3769.702305175426,3355.788103360389,35960,501.35590148435693,197.45341942342296,647549,1537.0124952619954,4164.9419196870085,700.101273488522,4019.597254353518,87.4612747084221,1163.344573840986,2294.8797091409724,3667.48145098398,RAICHUR
29,29982,2179.9658538272192,3174.8008915351315,2840.510870692826,22274,384.4794720577926,204.59859385167695,547061,1262.7006158382662,3390.615531761725,477.6716220846707,2701.4177577702817,52.49863723385192,704.5844930729984,1733.114796150932,2486.7341474302348,KOPPAL
