,SowingSeedsDistributed_Maize_320,LivestockCensus_2012_Cattle_354,LivestockCensus_2012_Buffaloes_355,RuralRationCardHolders_47,TotalBPLPriorityCardHoldersAkshayaWithoutCylinder_39,RuralRationShops_29,PWDRoadLength_MajorDistrictRoads_521,MotorVehicles_Trailers_515,NetAreaIrrigatedUnderDifferentSources_OtherSources_GrossIrrigatedArea_186,NetAreaIrrigatedUnderDifferentSources_OtherSources_NetIrrigatedArea_187,NetAreaIrrigatedUnderDifferentSources_TotalGrossIrrigatedArea_188,NetAreaIrrigatedUnderDifferentSources_TotalNetIrrigatedArea_189,NetAreaIrrigatedUnderDifferentSources_TubeWells_GrossIrrigatedArea_181,NetAreaIrrigated_Wells_GrossIrrigatedArea_178,NetAreaIrrigated_Wells_NetAreaIrrigated_179,NetAreaIrrigatedUnderDifferentSources_TubeWells_NetIrrigatedArea_182,NetAreaIrrigatedUnderDifferentSources_LiftIrrigation_No_183,AreaUnderCereals_Maize_193,MotorVehicles_Tractors_514,TotalAgricultureLoan,TotalNPK_315,Maize_Production_226,District
10,0.0,0.0,0.0,272963,60528,409,775.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAKSHINA KANNADA
11,0.0,94.49900772836865,3.3163334445411303,185491,37289,244,791.88,0.0603583184005338,1.8010022459389092,1.568566485638717,12.576649114178307,11.630035735536394,0.26205257491908773,9.594348350971808,8.924033609977059,0.26205257491908773,0.8416423901192446,0.0029991711006476423,1.6225515654503744,10.475212401159771,2.304862990847713,0.04086370624632413,UDUPI
12,8925.33,151008.14025035864,35174.64288547747,375065,165073,756,3131.35,3769.352021749051,974.0854213953155,902.1246118903957,24342.424560589836,20897.2696806242,6096.001862627842,174.05053925238383,125.49566778712655,5824.841580444943,4.979986816949466,19685.389888719543,5749.643779509006,27262.912929455764,17039.273893533446,83150.09288458269,HASSAN
13,246.41,7599.582730293919,1244.0806034710133,112360,26680,267,846.5,371.0069055805723,6.359627290470779,6.359627290470779,133.63811400921705,133.63811400921705,9.109736389052737,0.0,0.0,9.109736389052737,0.9453500026375482,296.324255372206,587.4061152752402,4369.833119691934,3519.022414363608,1540.1470361152274,KODAGU
14,794.03,8774.134623334794,3481.42273504168,435647,122973,635,2820.83,218.1690942634836,22.560966760660715,20.16849944775926,3621.166750788254,3069.2484663750174,495.3364324631171,179.4589731407381,131.22683211264476,383.392886892458,2.129295908482294,117.03950094713915,277.26303689214956,2296.4150137165493,1448.8303553468627,463.82763795220495,MANDYA
15,1573.43,61547.7274444302,5086.754725300928,471549,10446,706,2603.09,1074.9393833734407,0.0,0.0,16825.746849459145,15067.742733933732,2565.0486244427916,1346.3061395636728,1147.2889188661727,2222.2283022396136,0.3359885549198085,4175.553764358407,2252.4672721823963,11364.082655036496,6945.331414932335,15360.724753823806,MYSURU
16,2054.6,80396.92668339919,6396.657807542887,221775,116794,428,989.66,724.5890923850467,0.0,0.0,23701.65833768213,22132.73613975796,14330.387743015,735.0016152680103,572.6887585629913,13496.467160358838,1.531253365141688,11811.782208029952,1128.533730109424,9059.660534860797,7289.68477009352,45290.18703146873,CHAMARAJANAGAR
17,11883.58,159047.08619222807,222505.97027366594,797693,380263,1309,3045.97,13094.899030658975,23946.146338445567,19156.756100885148,139266.5718400362,114221.80612993422,45838.58540215861,44875.985571754914,36843.58899363712,37481.297967123624,1744.6451218269888,35188.81871662207,12459.604605242044,77091.61832893218,48288.81512653903,154734.4350568492,BELAGAVI
18,2682.76,48619.507079860894,30141.116018365694,304581,180215,695,2402.51,3070.028118229177,1890.7852965747702,1721.1142176240057,59085.118988188624,54355.081299114994,24890.15160784753,15505.784502754175,14023.324282929545,21812.24521754929,0.3843059545883679,7725.894758067255,4769.044743464352,42046.9240991622,10420.071652709008,43489.406892060775,VIJAYAPURA
19,5678.15,75578.0519987835,63510.82714034094,227994,150329,520,1586.21,6038.616433880936,31325.61014291686,29187.141989444848,68661.16512544853,62974.18145143524,34965.27969428537,1697.8452566840149,1333.2291333751011,31781.380297053005,5.139248028834839,11982.562509335967,6523.328669021569,59702.34952042951,22940.52125376528,68081.24155840527,BAGALKOT
